No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
1, 1415657, -59.04, -58.95, -59.12, 0.00, 0.00,(0 0)
2, 2416558, -75.18, -73.12, -76.12, 0.00, 0.00,(0 0)
3, 3417459, -73.61, -73.28, -75.37, 0.00, 0.00,(0 0)
4, 4418360, -74.02, -73.24, -75.44, 0.00, 0.00,(0 0)
5, 5419261, -74.67, -73.83, -76.02, 0.00, 0.00,(0 0)
6, 6420162, -75.33, -72.62, -75.85, 0.00, 0.00,(0 0)
7, 7421063, -75.19, -73.01, -76.05, 0.00, 0.00,(0 0)
8, 8421964, -75.12, -73.53, -75.91, 0.00, 0.00,(0 0)
9, 9422865, -75.34, -72.66, -76.17, 0.00, 0.00,(0 0)
10, 10423766, -75.26, -70.59, -76.00, 0.00, 0.00,(0 0)
11, 11424666, -74.78, -70.32, -76.11, 0.00, 0.00,(0 0)
12, 12425567, -74.59, -68.42, -75.71, 0.00, 0.00,(0 0)
13, 13426468, -74.62, -69.18, -75.93, 0.00, 0.00,(0 0)
14, 14427369, -74.48, -69.15, -75.69, 0.00, 0.00,(0 0)
15, 15428270, -74.21, -69.34, -75.43, 0.00, 0.00,(0 0)
16, 16429171, -74.44, -69.88, -75.31, 0.00, 0.00,(0 0)
17, 17430072, -73.62, -71.46, -75.11, 0.00, 0.00,(0 0)
18, 18430973, -73.95, -70.98, -75.13, 0.00, 0.00,(0 0)
19, 19431874, -73.44, -71.41, -75.15, 0.00, 0.00,(0 0)
20, 20432775, -74.15, -71.18, -75.05, 0.00, 0.00,(0 0)
21, 21433675, -73.72, -70.31, -74.96, 0.00, 0.00,(0 0)
22, 22434576, -74.10, -69.74, -74.89, 0.00, 0.00,(0 0)
23, 23435477, -73.04, -68.34, -74.74, 0.00, 0.00,(0 0)
24, 24436378, -73.24, -69.20, -74.38, 0.00, 0.00,(0 0)
25, 25437279, -72.12, -69.17, -74.55, 0.00, 0.00,(0 0)
26, 26438180, -74.28, -69.63, -74.48, 0.00, 0.00,(0 0)
27, 27439081, -73.38, -69.90, -74.34, 0.00, 0.00,(0 0)
28, 28439982, -73.61, -70.53, -74.39, 0.00, 0.00,(0 0)
29, 29440883, -72.94, -70.91, -73.86, 0.00, 0.00,(0 0)
30, 30441784, -72.83, -69.50, -73.88, 0.00, 0.00,(0 0)
31, 31442684, -72.35, -70.20, -73.89, 0.00, 0.00,(0 0)
