No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
1, 100000, -20.94, -20.94, -20.94, 0.00, 0.00,(0 0)
2, 1100900, -42.74, -42.74, -42.76, 0.00, 0.00,(0 0)
3, 2101801, -68.35, -67.92, -69.00, 0.00, 0.00,(0 0)
4, 3102702, -68.37, -68.29, -68.60, 0.00, 0.00,(0 0)
5, 4103603, -68.06, -68.05, -68.38, 0.00, 0.00,(0 0)
6, 5104504, -68.53, -68.42, -69.28, 0.00, 0.00,(0 0)
7, 6105405, -68.21, -67.91, -68.69, 0.00, 0.00,(0 0)
8, 7106306, -68.54, -68.04, -68.76, 0.00, 0.00,(0 0)
9, 8107207, -68.72, -68.62, -69.29, 0.00, 0.00,(0 0)
10, 9108108, -68.64, -68.63, -69.14, 0.00, 0.00,(0 0)
11, 10109009, -67.83, -67.80, -68.49, 0.00, 0.00,(0 0)
12, 11109909, -61.46, -61.24, -63.16, 0.00, 0.00,(0 0)
13, 12110810, -62.56, -62.41, -64.58, 0.00, 0.00,(0 0)
14, 13111711, -62.52, -61.05, -63.50, 0.00, 0.00,(0 0)
15, 14112612, -49.19, -42.02, -49.72, 0.00, 0.00,(0 0)
16, 15113513, -47.56, -40.60, -49.18, 0.00, 0.00,(0 0)
17, 16114414, -58.32, -53.71, -61.56, 0.00, 0.00,(0 0)
18, 17115315, -51.49, -46.37, -58.13, 0.00, 0.00,(0 0)
19, 18116216, -57.14, -53.70, -63.22, 0.00, 0.00,(0 0)
20, 19117117, -63.92, -63.92, -65.77, 0.00, 0.00,(0 0)
21, 20118018, -64.33, -64.17, -66.05, 0.00, 0.00,(0 0)
22, 21118918, -63.03, -62.07, -64.21, 0.00, 0.00,(0 0)
23, 22119819, -64.74, -64.26, -65.42, 0.00, 0.00,(0 0)
24, 23120720, -65.10, -64.76, -65.20, 0.00, 0.00,(0 0)
25, 24121621, -64.33, -63.92, -64.70, 0.00, 0.00,(0 0)
26, 25122522, -63.44, -63.01, -64.55, 0.00, 0.00,(0 0)
27, 26123423, -62.89, -61.85, -64.47, 0.00, 0.00,(0 0)
