No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
1, 100000, -35.06, -35.04, -35.09, 0.00, 0.00,(0 0)
2, 1100900, -57.05, -57.01, -57.09, 0.00, 0.00,(0 0)
3, 2101801, -85.01, -84.11, -85.69, 0.00, 0.00,(0 0)
4, 3102702, -84.53, -83.72, -85.33, 0.00, 0.00,(0 0)
5, 4103603, -81.90, -80.58, -83.23, 0.00, 0.00,(0 0)
6, 5104504, -84.06, -79.74, -84.94, 0.00, 0.00,(0 0)
7, 6105405, -83.57, -82.95, -84.14, 0.00, 0.00,(0 0)
8, 7106306, -84.21, -84.14, -85.28, 0.00, 0.00,(0 0)
9, 8107207, -79.34, -77.49, -81.45, 0.00, 0.00,(0 0)
10, 9108108, -68.73, -66.19, -73.97, 0.00, 0.00,(0 0)
11, 10109009, -62.03, -58.28, -64.51, 0.00, 0.00,(0 0)
12, 11109909, -46.25, -41.63, -47.87, 0.00, 0.00,(0 0)
13, 12110810, -47.55, -42.49, -49.02, 0.00, 0.00,(0 0)
14, 13111711, -46.06, -39.71, -47.65, 0.00, 0.00,(0 0)
15, 14112612, -51.29, -44.46, -51.48, 0.00, 0.00,(0 0)
16, 15113513, -58.09, -55.57, -61.89, 0.00, 0.00,(0 0)
17, 16114414, -49.23, -39.24, -51.77, 0.00, 0.00,(0 0)
18, 17115315, -41.47, -31.84, -42.54, 0.00, 0.00,(0 0)
19, 18116216, -51.06, -42.78, -52.23, 0.00, 0.00,(0 0)
20, 19117117, -64.75, -63.78, -70.23, 0.00, 0.00,(0 0)
21, 20118018, -68.34, -67.55, -69.80, 0.00, 0.00,(0 0)
22, 21118918, -65.13, -63.91, -67.82, 0.00, 0.00,(0 0)
23, 22119819, -66.78, -66.08, -67.97, 0.00, 0.00,(0 0)
24, 23120720, -66.94, -66.12, -67.83, 0.00, 0.00,(0 0)
25, 24121621, -66.56, -66.18, -67.25, 0.00, 0.00,(0 0)
26, 25122522, -66.28, -65.98, -67.30, 0.00, 0.00,(0 0)
27, 26123423, -65.59, -64.83, -66.28, 0.00, 0.00,(0 0)
28, 27124324, -64.89, -63.38, -65.58, 0.00, 0.00,(0 0)
29, 28125225, -64.65, -63.37, -65.76, 0.00, 0.00,(0 0)
30, 29126126, -64.88, -64.27, -65.84, 0.00, 0.00,(0 0)
