No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
1, 9000, -12.29, -12.29, -12.30, 0.00, 0.00,(0 0)
2, 1009991, -39.27, -39.25, -39.28, 0.00, 0.00,(0 0)
3, 2010983, -69.33, -69.03, -69.52, 0.00, 0.00,(0 0)
4, 3011975, -68.74, -68.44, -69.62, 0.00, 0.00,(0 0)
5, 4012967, -68.76, -68.54, -69.21, 0.00, 0.00,(0 0)
6, 5013959, -69.75, -69.71, -70.04, 0.00, 0.00,(0 0)
7, 6014951, -69.71, -69.56, -70.45, 0.00, 0.00,(0 0)
8, 7015943, -69.77, -69.47, -70.18, 0.00, 0.00,(0 0)
9, 8016935, -69.88, -69.55, -70.22, 0.00, 0.00,(0 0)
10, 9017927, -69.45, -68.83, -69.55, 0.00, 0.00,(0 0)
11, 10018919, -68.77, -68.29, -69.19, 0.00, 0.00,(0 0)
12, 11019911, -64.07, -61.95, -64.25, 0.00, 0.00,(0 0)
13, 12020903, -64.92, -63.86, -65.12, 0.00, 0.00,(0 0)
14, 13021895, -61.79, -61.79, -63.51, 0.00, 0.00,(0 0)
15, 14022887, -64.68, -64.68, -66.03, 0.00, 0.00,(0 0)
16, 15023879, -62.72, -62.72, -64.88, 0.00, 0.00,(0 0)
17, 16024871, -65.22, -65.22, -66.22, 0.00, 0.00,(0 0)
18, 17025863, -59.62, -59.53, -60.77, 0.00, 0.00,(0 0)
19, 18026855, -62.48, -62.48, -65.20, 0.00, 0.00,(0 0)
20, 19027847, -66.19, -65.70, -66.39, 0.00, 0.00,(0 0)
21, 20028839, -64.45, -64.13, -65.10, 0.00, 0.00,(0 0)
22, 21029831, -60.45, -59.13, -61.66, 0.00, 0.00,(0 0)
23, 22030823, -64.36, -64.36, -64.94, 0.00, 0.00,(0 0)
24, 23031815, -65.44, -64.88, -65.97, 0.00, 0.00,(0 0)
25, 24032807, -65.14, -65.05, -65.36, 0.00, 0.00,(0 0)
26, 25033799, -65.11, -64.99, -65.76, 0.00, 0.00,(0 0)
27, 26034791, -64.71, -64.24, -64.76, 0.00, 0.00,(0 0)
28, 27035783, -64.62, -64.45, -65.04, 0.00, 0.00,(0 0)
29, 28036775, -64.31, -63.80, -64.90, 0.00, 0.00,(0 0)
30, 29037767, -64.17, -63.80, -64.29, 0.00, 0.00,(0 0)
31, 30038759, -63.95, -63.92, -64.23, 0.00, 0.00,(0 0)
32, 31039751, -63.92, -63.89, -64.84, 0.00, 0.00,(0 0)
33, 32040743, -63.91, -63.84, -64.45, 0.00, 0.00,(0 0)
34, 33041735, -64.10, -63.71, -64.30, 0.00, 0.00,(0 0)
35, 34042727, -64.02, -63.74, -64.12, 0.00, 0.00,(0 0)
36, 35043719, -63.70, -63.42, -63.96, 0.00, 0.00,(0 0)
37, 36044711, -63.23, -62.60, -63.23, 0.00, 0.00,(0 0)
38, 37045703, -62.86, -62.48, -62.99, 0.00, 0.00,(0 0)
39, 38046695, -62.61, -62.17, -62.63, 0.00, 0.00,(0 0)
40, 39047687, -62.39, -62.06, -62.58, 0.00, 0.00,(0 0)
41, 40048679, -61.75, -61.24, -62.14, 0.00, 0.00,(0 0)
42, 41049671, -61.03, -60.95, -61.17, 0.00, 0.00,(0 0)
43, 42050663, -61.73, -61.13, -61.87, 0.00, 0.00,(0 0)
44, 43051655, -63.76, -63.30, -63.85, 0.00, 0.00,(0 0)
45, 44052647, -64.45, -64.10, -64.61, 0.00, 0.00,(0 0)
46, 45053639, -64.57, -64.56, -65.04, 0.00, 0.00,(0 0)
47, 46054631, -64.64, -64.21, -64.71, 0.00, 0.00,(0 0)
48, 47055623, -64.62, -64.26, -64.63, 0.00, 0.00,(0 0)
49, 48056615, -64.22, -64.07, -64.40, 0.00, 0.00,(0 0)
